id,name,point
354522,Oh! Green,POINT(3.8910831130918853 50.39470360193161)
354527,McDonald's,POINT(4.649010300000014 50.64000189969216)
354550,Intermarché,POINT(3.969562526950523 50.49124793394468)
354564,Tom & Co,POINT(3.247511399999996 50.81619319969255)
354565,Kvik,POINT(3.2664538623105477 50.847957667913256)
354573,Aveve,POINT(6.173287957016411 50.35033493793414)
354574,Aveve,POINT(5.089793443491747 50.49087359742727)
354577,Aveve,POINT(4.703057032450045 50.57385456643233)
354578,Aveve,POINT(3.0068069000000053 51.015432599693)
354580,Aveve,POINT(3.597533829529749 51.155564368123876)
354581,Aveve,POINT(4.292353500000012 51.00328139969296)
354582,Aveve,POINT(3.3203913290842966 50.91914711940146)
354584,Aveve,POINT(3.611599200000013 50.845626499692585)
354585,Aveve,POINT(5.442061306167896 51.12772493375319)
354814,Albert Heijn,POINT(4.437846099999994 51.25567279969357)
354821,Poils et Plumes,POINT(4.244477497437735 50.40667670798873)
354822,Poils et Plumes,POINT(5.509043407158307 50.648710615271504)
354832,Aldi,POINT(2.871523301618981 51.03312237713853)
354834,Aldi,POINT(4.383463499999998 50.9295922996928)
354836,Carrefour market,POINT(3.907588300000011 51.10098299969319)
354837,Carrefour market,POINT(5.847976932195715 50.5847919254898)
354838,Carrefour market,POINT(4.377613500000019 50.46403459969178)
354839,Carrefour market,POINT(5.04316020000001 51.447550799694)
354840,Carrefour market,POINT(4.73856500000001 51.44360899969399)
354844,Carrefour express,POINT(4.372268262414187 50.861697614009195)
354848,Carrefour express,POINT(4.418512933767107 51.27798704061334)
354851,Carrefour express,POINT(4.3135741999999855 50.762269099692425)
354857,Proxy Delhaize,POINT(4.355231600000011 50.82227189969255)
354860,Spar Colruyt Group,POINT(4.476019442081451 51.02603273877743)
354863,Spar,POINT(4.361870799999981 51.18189409969337)
354868,Louis Delhaize,POINT(4.6166295348945585 50.668423549945445)
354872,Action,POINT(4.363007200000002 50.35412469969157)
354874,Action,POINT(4.322283900000006 50.85782319969262)
354875,Action,POINT(4.377346999999991 50.464178699691786)
354877,Action,POINT(5.218308299999981 50.53302879969194)
354878,Action,POINT(4.7057750363983475 50.394543221788524)
354879,Action,POINT(5.548228431271434 50.56430020987006)
354880,Action,POINT(5.110742066478728 50.300833239207364)
354881,Action,POINT(3.8736818000000106 50.41437629969168)
354882,Action,POINT(5.648341899999982 50.68757579969224)
354883,Action,POINT(4.450499800000003 50.40586809969165)
